parameter_set_id,formation,parameter_level,n_segment_points,settlement_filter_metric,plastic_zone_filter_metric,segment_p95_crown_settlement_mm,segment_p95_wall_convergence_mm,segment_p95_radial_convergence_hydrostatic_equiv_mm,segment_p95_diametral_convergence_hydrostatic_equiv_mm,segment_p95_plastic_zone_thickness_estimate_m,segment_p95_plastic_zone_ratio_to_radius,mean_crown_settlement_mm,mean_wall_convergence_mm,mean_plastic_zone_thickness_estimate_m,mean_plastic_zone_ratio_to_radius,max_crown_settlement_mm,max_wall_convergence_mm,max_sidewall_convergence_mm,max_radial_convergence_hydrostatic_equiv_mm,max_diametral_convergence_hydrostatic_equiv_mm,max_plastic_zone_thickness_estimate_m,max_plastic_zone_ratio_to_radius,max_stability_index,displacement_model,danger_mileage,danger_formation,yield_state_control,result_invalid_reason,E_GPa,cohesion_MPa,friction,sigma_ci_MPa,mi,GSI,disturbance_D,hb_mb,hb_s,hb_a,poisson,density,material_invalid_reason,parameter_prior_penalty,reject_reason_formation,failure_flag_formation,pass_stage1_formation,plastic_zone_penalty,crown_settlement_penalty,wall_convergence_penalty,convergence_penalty,stability_penalty,score_2d_formation,rank_2d_formation
P0001,SH_ST,min_max_sweep_100_lhs,2261,segment_p95,segment_p95,,,,,5.529031241125629,1.8430104137085428,,,4.286003973720626,1.428667991240209,,,,,,5.78147459252428,1.9271581975080934,245.20543242457458,disabled_plastic_zone_only,1077.0,SH_ST,plastic_estimate,,2.9646801,0.20105446363636362,23.757373737373737,10.929707454545452,7.91919191919192,28.939393939393938,0.5,0.2685953750890561,7.676609591309484e-05,0.523996371835586,0.38,2505.8585858585857,,0.21424344454647484,,False,True,0.9215052068542714,,,0.0,5.506166278594553,1.803074333086938,57.0
P0001,Interbedded_ST,min_max_sweep_100_lhs,924,segment_p95,segment_p95,,,,,6.896341530118363,2.2987805100394545,,,6.5874110578034974,2.1958036859344987,,,,,,6.915106241620947,2.305035413873649,723.7418106674447,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,segment_p95_plastic_zone_ratio_to_radius too large,1.8524014909090913,0.10318336363636364,21.572727272727274,1.61865,9.373737373737374,39.54545454545455,0.5,0.5268307201718317,0.0003157353925201957,0.511724767277194,0.24838383838383837,2520.0,,0.16708499132741558,segment_p95_plastic_zone_ratio_to_radius too large,True,False,1.1493902550197272,,,0.0,6.585815468210425,2.1875600344732513,36.0
P0001,Fault,min_max_sweep_100_lhs,246,segment_p95,segment_p95,,,,,6.044338425097896,2.014779475032632,,,5.711173606965697,1.9037245356552324,,,,,,6.073807992547143,2.024602664182381,324.24509628450255,disabled_plastic_zone_only,1429.0,Fault,plastic_estimate,segment_p95_plastic_zone_ratio_to_radius too large,0.2404040404040404,0.028888888888888888,19.595959595959595,6.111111111111111,3.6969696969696972,27.424242424242422,0.5,0.11666193481455747,6.272392044580957e-05,0.5265694380424889,0.3090909090909091,2490.0,,0.4566880930517295,segment_p95_plastic_zone_ratio_to_radius too large,True,False,1.007389737516316,,,0.0,5.784579040521089,1.9352925158940413,49.0
P0002,SH_ST,min_max_sweep_100_lhs,2261,segment_p95,segment_p95,,,,,5.084447234410894,1.6948157448036314,,,3.84874732579452,1.28291577526484,,,,,,5.336890585809545,1.7789635286031817,160.2172668622453,disabled_plastic_zone_only,1077.0,SH_ST,plastic_estimate,,2.9646801,0.206991,18.81030303030303,6.737349454545453,4.363636363636363,40.0,0.5,0.2506150658950575,0.00033546262790251185,0.5113684695702436,0.38,2423.4343434343436,,0.49894908682787464,,False,True,0.8474078724018157,,,0.0,5.082752938866234,1.6770539464160021,30.0
P0002,Interbedded_ST,min_max_sweep_100_lhs,924,segment_p95,segment_p95,,,,,7.173946205534774,2.391315401844925,,,6.8650157332199075,2.288338577739969,,,,,,7.192710917037358,2.3975703056791193,943.0705262532778,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,segment_p95_plastic_zone_ratio_to_radius too large,1.9494709454545456,0.131672,21.855555555555558,1.61865,7.505050505050505,36.06060606060606,0.5,0.3573080978685392,0.00019839461110480523,0.5148465869643258,0.3097979797979798,2520.0,,0.27042138557290085,segment_p95_plastic_zone_ratio_to_radius too large,True,False,1.1956577009224625,,,0.0,6.850200873368912,2.2803045196442744,60.0
P0002,Fault,min_max_sweep_100_lhs,246,segment_p95,segment_p95,,,,,6.503358405888858,2.167786135296286,,,6.170193587756659,2.056731195918886,,,,,,6.5328279733381045,2.177609324446035,502.579163889638,disabled_plastic_zone_only,1429.0,Fault,plastic_estimate,segment_p95_plastic_zone_ratio_to_radius too large,0.26868686868686864,0.02616161616161616,18.98989898989899,9.848484848484848,4.878787878787879,18.03030303030303,0.5,0.09842877391828804,1.7925380770222155e-05,0.5498856198601928,0.3419191919191919,2490.0,,0.23760840730537708,segment_p95_plastic_zone_ratio_to_radius too large,True,False,1.083893067648143,,,0.0,6.221740926988671,2.0691484064991106,76.0
P0003,SH_ST,min_max_sweep_100_lhs,2261,segment_p95,segment_p95,,,,,5.170046952698488,1.7233489842328296,,,3.932908393354592,1.3109694644515306,,,,,,5.42249030409714,1.80749676803238,173.91086128931488,disabled_plastic_zone_only,1077.0,SH_ST,plastic_estimate,,2.9646801,0.19511792727272725,20.974646464646465,15.31262718181818,6.181818181818182,29.09090909090909,0.5,0.21118707134513864,7.83326971081007e-05,0.5237530726127502,0.38,2526.4646464646466,,0.24313845525966743,,False,True,0.8616744921164148,,,0.0,5.164276480092514,1.6912680878687973,34.0
P0003,Interbedded_ST,min_max_sweep_100_lhs,924,segment_p95,segment_p95,,,,,7.487988694678038,2.4959962315593462,,,7.179058222363172,2.3930194074543905,,,,,,7.506753406180621,2.5022511353935406,1272.2003346725312,disabled_plastic_zone_only,767.0,Interbedded_ST,plastic_estimate,segment_p95_plastic_zone_ratio_to_radius too large,1.9252035818181819,0.1362301818181818,19.592929292929295,1.61865,9.424242424242424,32.27272727272727,0.5,0.3746275770354471,0.0001197262070055988,0.5191725277436547,0.328989898989899,2520.0,,0.20006121824303652,segment_p95_plastic_zone_ratio_to_radius too large,True,False,1.2479981157796731,,,0.0,7.149288958267259,2.375859439400359,84.0
P0003,Fault,min_max_sweep_100_lhs,246,segment_p95,segment_p95,,,,,6.125655470928153,2.0418851569760514,,,5.792490652795954,1.9308302175986516,,,,,,6.155125038377401,2.0517083461258,350.4346744613423,disabled_plastic_zone_only,1429.0,Fault,plastic_estimate,segment_p95_plastic_zone_ratio_to_radius too large,0.4868686868686869,0.022525252525252525,16.88888888888889,5.808080808080808,6.0,27.12121212121212,0.5,0.18662407097044043,6.024013597996088e-05,0.527115981380768,0.3242424242424242,2490.0,,0.14863789409243958,segment_p95_plastic_zone_ratio_to_radius too large,True,False,1.0209425784880257,,,0.0,5.862023846073715,1.945543597785384,51.0
P0004,SH_ST,min_max_sweep_100_lhs,2261,segment_p95,segment_p95,,,,,4.526654415129551,1.5088848050431838,,,3.301078061707725,1.1003593539025749,,,,,,4.779097766528203,1.5930325888427341,93.77651840295123,disabled_plastic_zone_only,1077.0,SH_ST,plastic_estimate,,2.9646801,0.1713717818181818,18.19191919191919,18.361614818181817,4.242424242424242,34.54545454545455,0.5,0.1879182491370683,0.0001621039556043436,0.5164471425173605,0.38,2560.808080808081,,0.29456177941026435,,False,True,0.7544424025215919,,,0.0,4.551521682407812,1.4908642273432695,9.0
